Week,Bread,Count
1,CB,114
2,CB,127
3,CB,358
4,CB,129
5,CB,113
6,CB,98
7,CB,102
8,CB,83
9,CB,90
10,CB,109
1,CW,5
2,CW,10
3,CW,13
4,CW,13
5,CW,9
6,CW,12
7,CW,1
8,CW,2
9,CW,3
10,CW,14
1,DK,10
2,DK,11
3,DK,12
4,DK,14
5,DK,16
6,DK,17
7,DK,13
8,DK,21
9,DK,18
10,DK,21
1,GC,11
2,GC,8
3,GC,10
4,GC,13
5,GC,10
6,GC,9
7,GC,13
8,GC,11
9,GC,14
10,GC,12
1,W,18
2,W,25
3,W,30
4,W,41
5,W,28
6,W,34
7,W,24
8,W,34
9,W,38
10,W,40
1,HW,44
2,HW,37
3,HW,44
4,HW,48
5,HW,51
6,HW,39
7,HW,37
8,HW,57
9,HW,64
10,HW,56
1,POP,4
2,POP,0
3,POP,0
4,POP,0
5,POP,0
6,POP,0
7,POP,0
8,POP,4
9,POP,0
10,POP,5
1,RWB,0
2,RWB,0
3,RWB,0
4,RWB,0
5,RWB,0
6,RWB,0
7,RWB,27
8,RWB,20
9,RWB,23
10,RWB,0
1,SH,5
2,SH,9
3,SH,7
4,SH,5
5,SH,14
6,SH,9
7,SH,6
8,SH,13
9,SH,11
10,SH,12
1,SD,12
2,SD,5
3,SD,4
4,SD,10
5,SD,8
6,SD,6
7,SD,7
8,SD,13
9,SD,19
10,SD,5
