Week,Sandwich,Count
1,$5SAND,42
2,$5SAND,56
3,$5SAND,9
4,$5SAND,30
5,$5SAND,11
6,$5SAND,9
7,$5SAND,0
8,$5SAND,0
9,$5SAND,0
10,$5SAND,15
1,1/2SAND,0
2,1/2SAND,0
3,1/2SAND,0
4,1/2SAND,0
5,1/2SAND,28
6,1/2SAND,21
7,1/2SAND,10
8,1/2SAND,24
9,1/2SAND,29
10,1/2SAND,9
1,BAJA,80
2,BAJA,83
3,BAJA,59
4,BAJA,83
5,BAJA,64
6,BAJA,34
7,BAJA,56
8,BAJA,76
9,BAJA,66
10,BAJA,56
1,BLT,1
2,BLT,0
3,BLT,0
4,BLT,3
5,BLT,13
6,BLT,6
7,BLT,12
8,BLT,19
9,BLT,12
10,BLT,3
1,CALI,44
2,CALI,39
3,CALI,30
4,CALI,33
5,CALI,38
6,CALI,24
7,CALI,40
8,CALI,43
9,CALI,44
10,CALI,30
1,CAPRESE,3
2,CAPRESE,6
3,CAPRESE,5
4,CAPRESE,2
5,CAPRESE,0
6,CAPRESE,0
7,CAPRESE,0
8,CAPRESE,0
9,CAPRESE,0
10,CAPRESE,0
1,CHICKEN,12
2,CHICKEN,7
3,CHICKEN,9
4,CHICKEN,15
5,CHICKEN,11
6,CHICKEN,19
7,CHICKEN,15
8,CHICKEN,16
9,CHICKEN,17
10,CHICKEN,11
1,DEALIO,61
2,DEALIO,11
3,DEALIO,0
4,DEALIO,1
5,DEALIO,0
6,DEALIO,1
7,DEALIO,0
8,DEALIO,0
9,DEALIO,0
10,DEALIO,0
1,EBC,0
2,EBC,0
3,EBC,0
4,EBC,0
5,EBC,18
6,EBC,4
7,EBC,12
8,EBC,15
9,EBC,15
10,EBC,0
1,EGG,0
2,EGG,0
3,EGG,0
4,EGG,0
5,EGG,27
6,EGG,14
7,EGG,22
8,EGG,29
9,EGG,20
10,EGG,0
1,GC,4
2,GC,7
3,GC,1
4,GC,3
5,GC,15
6,GC,11
7,GC,36
8,GC,41
9,GC,20
10,GC,19
1,H&S,6
2,H&S,5
3,H&S,11
4,H&S,11
5,H&S,11
6,H&S,21
7,H&S,12
8,H&S,11
9,H&S,10
10,H&S,4
1,HAMMY,13
2,HAMMY,24
3,HAMMY,17
4,HAMMY,26
5,HAMMY,2
6,HAMMY,8
7,HAMMY,4
8,HAMMY,4
9,HAMMY,9
10,HAMMY,5
1,VEGGIE,10
2,VEGGIE,9
3,VEGGIE,0
4,VEGGIE,2
5,VEGGIE,17
6,VEGGIE,13
7,VEGGIE,6
8,VEGGIE,9
9,VEGGIE,12
10,VEGGIE,12
1,PBJ,12
2,PBJ,5
3,PBJ,7
4,PBJ,4
5,PBJ,9
6,PBJ,4
7,PBJ,8
8,PBJ,8
9,PBJ,4
10,PBJ,11
1,T&S,9
2,T&S,11
3,T&S,21
4,T&S,23
5,T&S,14
6,T&S,27
7,T&S,9
8,T&S,18
9,T&S,10
10,T&S,7
1,CLUB,1
2,CLUB,1
3,CLUB,0
4,CLUB,0
5,CLUB,0
6,CLUB,26
7,CLUB,35
8,CLUB,40
9,CLUB,47
10,CLUB,14
1,DINNER,20
2,DINNER,26
3,DINNER,23
4,DINNER,29
5,DINNER,23
6,DINNER,17
7,DINNER,20
8,DINNER,33
9,DINNER,30
10,DINNER,23
1,PESTO,63
2,PESTO,77
3,PESTO,47
4,PESTO,56
5,PESTO,52
6,PESTO,40
7,PESTO,65
8,PESTO,51
9,PESTO,71
10,PESTO,69
