Week,Sweets,Count
1,3PKCOOKIE,2
2,3PKCOOKIE,2
3,3PKCOOKIE,0
4,3PKCOOKIE,0
5,3PKCOOKIE,0
6,3PKCOOKIE,0
7,3PKCOOKIE,0
8,3PKCOOKIE,0
9,3PKCOOKIE,2
10,3PKCOOKIE,0
1,BROWNIE,33
2,BROWNIE,35
3,BROWNIE,16
4,BROWNIE,25
5,BROWNIE,30
6,BROWNIE,32
7,BROWNIE,39
8,BROWNIE,32
9,BROWNIE,32
10,BROWNIE,25
1,CHEESECAKE,23
2,CHEESECAKE,31
3,CHEESECAKE,0
4,CHEESECAKE,20
5,CHEESECAKE,8
6,CHEESECAKE,12
7,CHEESECAKE,12
8,CHEESECAKE,4
9,CHEESECAKE,6
10,CHEESECAKE,11
1,CROLL,79
2,CROLL,98
3,CROLL,82
4,CROLL,114
5,CROLL,74
6,CROLL,101
7,CROLL,113
8,CROLL,126
9,CROLL,97
10,CROLL,92
1,CNYM,106
2,CNYM,83
3,CNYM,82
4,CNYM,131
5,CNYM,131
6,CNYM,85
7,CNYM,82
8,CNYM,128
9,CNYM,111
10,CNYM,103
1,6PKCNYM,37
2,6PKCNYM,18
3,6PKCNYM,3
4,6PKCNYM,7
5,6PKCNYM,6
6,6PKCNYM,12
7,6PKCNYM,14
8,6PKCNYM,6
9,6PKCNYM,13
10,6PKCNYM,20
1,COOKIE,62
2,COOKIE,53
3,COOKIE,38
4,COOKIE,84
5,COOKIE,71
6,COOKIE,67
7,COOKIE,69
8,COOKIE,64
9,COOKIE,74
10,COOKIE,68
1,6PKCOOKIE,1
2,6PKCOOKIE,7
3,6PKCOOKIE,8
4,6PKCOOKIE,0
5,6PKCOOKIE,2
6,6PKCOOKIE,5
7,6PKCOOKIE,1
8,6PKCOOKIE,3
9,6PKCOOKIE,3
10,6PKCOOKIE,3
1,6PKCROLL,3
2,6PKCROLL,2
3,6PKCROLL,1
4,6PKCROLL,84
5,6PKCROLL,4
6,6PKCROLL,3
7,6PKCROLL,1
8,6PKCROLL,3
9,6PKCROLL,4
10,6PKCROLL,3
1,LEMONBAR,21
2,LEMONBAR,6
3,LEMONBAR,31
4,LEMONBAR,23
5,LEMONBAR,16
6,LEMONBAR,21
7,LEMONBAR,18
8,LEMONBAR,24
9,LEMONBAR,10
10,LEMONBAR,21
1,MUFFIN,33
2,MUFFIN,35
3,MUFFIN,16
4,MUFFIN,25
5,MUFFIN,30
6,MUFFIN,32
7,MUFFIN,39
8,MUFFIN,32
9,MUFFIN,32
10,MUFFIN,25
1,6PKMUFIN,0
2,6PKMUFIN,0
3,6PKMUFIN,0
4,6PKMUFIN,0
5,6PKMUFIN,0
6,6PKMUFIN,0
7,6PKMUFIN,0
8,6PKMUFIN,0
9,6PKMUFIN,1
10,6PKMUFIN,1
1,SCONE,37
2,SCONE,26
3,SCONE,32
4,SCONE,29
5,SCONE,48
6,SCONE,49
7,SCONE,35
8,SCONE,27
9,SCONE,31
10,SCONE,36
1,6PKSCONE,1
2,6PKSCONE,32
3,6PKSCONE,0
4,6PKSCONE,0
5,6PKSCONE,0
6,6PKSCONE,0
7,6PKSCONE,0
8,6PKSCONE,0
9,6PKSCONE,0
10,6PKSCONE,1
1,TREK,0
2,TREK,0
3,TREK,2
4,TREK,0
5,TREK,0
6,TREK,0
7,TREK,0
8,TREK,0
9,TREK,1
10,TREK,0
1,RICECRISPY,0
2,RICECRISPY,0
3,RICECRISPY,0
4,RICECRISPY,0
5,RICECRISPY,3
6,RICECRISPY,6
7,RICECRISPY,0
8,RICECRISPY,0
9,RICECRISPY,0
10,RICECRISPY,0
1,SCOTCH,0
2,SCOTCH,0
3,SCOTCH,0
4,SCOTCH,6
5,SCOTCH,8
6,SCOTCH,3
7,SCOTCH,2
8,SCOTCH,9
9,SCOTCH,13
10,SCOTCH,0
