Apartment,Type,Distance,Price,Capacity,Address,Phone,Longitude,Latitude
Harris Hall,Approved Men's Housing,1.0545158,750,44,364 S 1st W ,208-359-5141,-111.7867268,43.8185058
Alta View Apartments,Approved Men's Housing,1.1676106,795,30,346 W 2nd S,208-360-0097,-111.7938578,43.8218751
Crestwood House,Approved Men's Housing,0.4548648,840,11,235 S 1st E,208-356-5149,-111.7809226,43.8209405
Colonial Heights Townhouse,Approved Men's Housing,0.4200664,850,56,251 E 4th S,356-6752,-111.7764603,43.8176752
Arbor Cove,Approved Men's Housing,0.9917544,850,97,220 S 2nd W,(208) 356-8988,-111.7895566,43.8214093
Mountain Crest,Approved Men's Housing,1.1638822,850,42,132 S 3rd W,(208) 359-4193,-111.7924581,43.8230786
Georgetown Apartments,Approved Men's Housing,1.1446188,850,72,236 W 3rd S,359-3191,-111.7907129,43.819781
Rockland Apartments,Approved Men's Housing,1.2875408,850,238,235 W 4th S,(208) 356-0923,-111.7906892,43.8176975
Pinnacle Point,Approved Men's Housing,0.708396,850,140,51 S 1st E,208-360-2845,-111.780339,43.824505
Somerset Apartments - Men,Approved Men's Housing,1.21173,870,108,480 S 1st W,(208) 356-7699,-111.7869059,43.8163422
Delta Phi Apartments,Approved Men's Housing,1.715064,875,60,139 Viking Dr,208-359-8015,-111.7886615,43.8177035
Crestwood Apartments,Approved Men's Housing,0.4548648,895,50,235 S 1st E ,208-356-5149,-111.7809226,43.8209405
Park View Apts-Men,Approved Men's Housing,1.1384048,895,39,154 S 3rd W,208 356-3697,-111.7924522,43.8222826
Cottonwood-Men,Approved Men's Housing,1.0644582,895,60,42 S 1st W,208-356-9576,-111.7867042,43.8250778
Allen's Sunrise Village - Men,Approved Men's Housing,0.7407088,895,138,48 W 2nd S,356-3995,-111.7852097,43.821866
Aspen Village - Men ,Approved Men's Housing,0.472264,895,128,545 S 2nd E ,208-356-7701,-111.7780764,43.8146367
Alpine Chalet,Approved Men's Housing,1.531751,900,252,460 S 2nd W,(208) 356-9282,-111.7895659,43.8165761
Blackwill Place,Approved Men's Housing,NA,900,5,336 W 3rd S,(503) 515-8377,-111.7935787,43.8197812
"Blue Door, The",Approved Men's Housing,0.624507,925,52,123 Princeton Ct,(208) 359-1233,-111.779473,43.823664
Spori Villa,Approved Men's Housing,2.2892376,935,10,174 College Ave,(208) 351-8072,-111.782776,43.822269
Bunkhouse,Approved Men's Housing,1.6920722,945,324,156 W 4th S,208-356-7419,-111.7867224,43.8187344
Northpoint - Men,Approved Men's Housing,0.8780382,945,476,141 S 1st W,208-681-9542,-111.78617,43.822758
"Red Door, The",Approved Men's Housing,0.6052436,950,53,135 S 1st E,208-201-3466,-111.779619,43.8285259
Hemming House III,Approved Men's Housing,0.8960588,950,7,124 W 1st S,356-6142,-111.7875196,43.8239553
Arcadia Apartments,Approved Men's Housing,1.711957,965,43,138 Viking Dr,706-286-4748,-111.7886609,43.8177393
"Pines South, The",Approved Men's Housing,NA,980,200,140 W 2nd S,208-356-5605,-111.7878656,43.8218723
Greenbrier North,Approved Men's Housing,0.6636552,981,48,129 Princeton Ct,356-3001,-111.779371,43.823056
Campus View Apartments,Approved Men's Housing,0.997347,988,32,136 W 3rd S,359-0920,-111.78777,43.820143
Clarke Apartments,Approved Men's Housing,0.692861,995,42,156 S Center St,(208) 356-6660,-111.7838412,43.8225813
American Avenue - Men,Approved Men's Housing,0.5542888,995,59,151 S 1st E,2083565097,-111.780098,43.822203
Briarwood Apartments,Approved Men's Housing,0.6767046,998,24,163 E 2nd S,356-3001,-111.779097,43.82186
Creekside Cottages-Men,Approved Men's Housing,1.3273104,1000,5,276 steiner Ave,503-515-8377,NA,NA
Hemming House IV,Approved Men's Housing,NA,1010,8,113 W 1st S,208-356-6142,-111.7871752,43.8239263
Bountiful Place,Approved Men's Housing,1.7094714,1045,148,345 W 5th S,(208) 557-4298,-111.792396,43.815652
Arpad,Approved Men's Housing,1.0619726,1050,79,271 S 2nd W,208-881-5026,-111.788876,43.820138
La Jolla - Men,Approved Men's Housing,0.9700054,1079,72,65 S 1st W,(208) 359-1985,-111.7866669,43.8246842
Kensington Manor - Men,Approved Men's Housing,0.1572142,1095,108,345 S 2nd E,208.356.4473,-111.7780591,43.8187924
Shelbourne Apartments,Approved Men's Housing,1.3875862,1099,168,570 S 2nd W,208-656-0746,-111.789569,43.814119
Jacob's House,Approved Men's Housing,0.6636552,1120,11,149 E 2nd S,208-356-3001,-111.779221,43.822228
Whitfield House,Approved Men's Housing,0.6636552,1120,7,175 E 2nd S,2083563001,-111.778657,43.822083
Chapman House,Approved Men's Housing,0.6636552,1120,7,179 E 2nd S,3563001,-111.778304,43.822054
Brighton Apartments-Men,Approved Men's Housing,1.3726726,1125,108,242 W 6th S ,208-356-9693,-111.7945301,43.8133921
Heritage Men,Approved Men's Housing,1.7287348,1149,180,129 W 4th S,208-356-7952,-111.787433,43.817232
"Snowed Inn, The",Approved Men's Housing,0.9321501,1150,8,271 W 2nd S,562-572-2943,-111.7917922,43.8218453
Centre Square-Men,Approved Men's Housing,1.1365406,1199,304,650 S 1st W,208-496-9220,-111.787101,43.812247
Nauvoo House I,Approved Men's Housing,1.5404506,1219,340,175 W 5th S,356-7756,-111.7888627,43.8155931
"Gates, The - Men",Approved Men's Housing,1.4839032,1230,288,370 W 7th S,208-356-6686,-111.794504,43.8116909
Tuscany Place - Men,Approved Men's Housing,1.5827058,1230,71,440 S 2nd W,(208) 356-3480,-111.7895741,43.8170624
"Towers, The - Men",Approved Men's Housing,1.4938456,1250,168,333 W 6th S,208-359-5965,-111.792518,43.813151
"Ivy, The - Men",Approved Men's Housing,1.2775984,1270,264,649 S 2nd W,208-356-6556,-111.789553,43.812377
Pincock House,Approved Men's Housing,0.8025315,1276,7,163 E 2nd S,2083563001,-111.778896,43.822094
West Winds,Approved Men's Housing,1.5342366,1285,24,160 W 5th S,(208) 356-0821,-111.7884885,43.8156171
Mountain Lofts - Men,Approved Men's Housing,1.4565616,1320,474,538 S 2nd W,208-356-5638,-111.791299,43.815
Jordan Ridge,Approved Men's Housing,0.8245978,1349,360,291 E 7th S ,359-2221,-111.7758519,43.8120309
Windsor Manor-Men,Approved Men's Housing,0.4735068,1445,136,125 E 2nd S,208-356-6789,-111.786668,43.81351
